Reason_1,Reason_2,Reason_3,Reason_4,Month_value,Transportation Expense,Age,Body Mass Index,Education,Children,Pets,Prediction,Probabilities
0,0.0,0,1,6,179,30,19,1,0,0,0,0.12746385333842603
1,0.0,0,0,6,361,28,27,0,1,4,1,0.8641606070204844
0,0.0,0,1,6,155,34,25,0,2,0,0,0.2671521276312788
0,0.0,0,1,6,179,40,22,1,2,0,0,0.20048666264405285
1,0.0,0,0,6,155,34,25,0,2,0,1,0.7220136612076556
1,0.0,0,0,6,225,28,24,0,1,2,1,0.711170772413384
1,0.0,0,0,6,118,46,25,0,2,0,1,0.5732028453699187
0,0.0,0,1,6,179,30,19,1,0,0,0,0.12746385333842603
0,0.0,0,1,6,118,37,28,0,0,0,0,0.13622793417784337
1,0.0,0,0,6,118,37,28,0,0,0,1,0.5291201367070447
0,0.0,0,1,6,378,36,21,0,2,4,0,0.43616345577616816
0,0.0,1,0,6,118,50,31,0,1,0,1,0.6457969215811191
0,0.0,1,0,6,233,31,21,1,1,8,0,0.34691014194432424
0,0.0,0,1,6,179,30,19,1,0,0,0,0.12746385333842603
0,0.0,0,0,6,235,48,33,0,1,5,0,0.09047382570739892
0,0.0,0,0,6,268,33,25,1,0,0,0,0.18633382298272844
0,0.0,1,0,6,118,50,31,0,1,0,1,0.6457969215811191
1,0.0,0,0,6,179,30,19,1,0,0,1,0.5100038409116203
0,0.0,0,1,6,291,40,25,0,1,1,0,0.38065677138035864
1,0.0,0,0,7,179,30,19,1,0,0,1,0.521051758850212
0,0.0,0,1,7,118,37,28,0,0,0,0,0.14151745160183377
0,0.0,0,1,7,233,31,21,1,1,8,0,0.05289946860426739
1,0.0,0,0,7,118,37,28,0,0,0,1,0.5401256892084004
1,0.0,0,0,7,118,37,28,0,0,0,1,0.5401256892084004
0,0.0,0,1,7,233,31,21,1,1,8,0,0.05289946860426739
0,0.0,0,1,7,235,43,38,0,1,0,1,0.512630762639036
0,0.0,1,0,7,233,31,21,1,1,8,0,0.3569991153503758
1,0.0,0,0,7,228,58,22,0,2,1,1,0.6404930654670741
0,0.0,0,1,7,118,37,28,0,0,0,0,0.14151745160183377
1,0.0,0,0,7,228,58,22,0,2,1,1,0.6404930654670741
0,0.0,0,1,7,189,33,25,0,2,2,0,0.24854389589830547
0,0.0,0,1,7,118,37,28,0,0,0,0,0.14151745160183377
0,0.0,0,1,7,361,28,27,0,1,4,0,0.4827392521889525
0,0.0,0,1,7,225,28,24,0,1,2,0,0.26536279691361364
1,0.0,0,0,7,369,31,25,0,3,0,1,0.9652777447238944
1,0.0,0,0,7,289,33,30,0,2,1,1,0.9109026332527816
1,0.0,0,0,7,235,37,29,1,1,1,1,0.7540235558100644
0,0.0,0,0,7,118,40,34,0,1,8,0,0.022846538644914288
0,0.0,0,0,7,231,39,35,0,2,2,0,0.2882205506253127
0,0.0,0,0,7,179,53,25,0,1,1,0,0.07785283339285703
