set_id,fleet,year,month,day,lat,lon,hooks,sst,buoys,green,hawksbill,oliveridley,leatherback,loggerhead,turtle,total
10438_1,JV,2012,4,10,-34.75,26.23,2640,21.60,220,0,0,0,0,0,0,0
10438_2,JV,2012,4,11,-34.52,26.47,2880,20.10,240,0,0,0,0,0,0,0
10438_3,JV,2012,4,12,-34.55,26.28,2640,20.40,220,0,0,0,0,0,0,0
10438_4,JV,2012,4,13,-35.26,24.75,2640,21.50,220,0,0,0,0,0,0,0
10438_5,JV,2012,4,16,-34.64,26.25,2880,21.70,240,0,0,0,0,0,0,0
10438_6,JV,2012,4,17,-34.41,26.54,2880,22.90,240,0,0,0,0,0,0,0
10438_7,JV,2012,4,18,-34.63,26.26,2640,22.50,220,0,0,0,0,0,0,0
10438_8,JV,2012,4,19,-34.59,26.15,2760,22.00,230,0,0,0,0,0,0,0
10438_9,JV,2012,4,20,-34.60,26.02,2520,22.70,210,0,0,0,0,0,0,0
10438_10,JV,2012,4,22,-34.35,26.40,1920,23.70,160,0,0,0,0,0,0,0
10438_11,JV,2012,4,23,-34.60,26.17,2640,23.30,220,0,0,0,0,0,0,0
10438_12,JV,2012,4,24,-34.75,25.93,2760,21.20,230,0,0,0,0,0,0,0
10438_13,JV,2012,4,25,-34.63,26.08,2760,20.20,230,0,0,0,0,0,0,0
10438_14,JV,2012,4,26,-34.61,26.07,2400,22.10,200,0,0,0,0,0,0,0
10438_15,JV,2012,4,27,-34.59,25.99,2520,21.00,210,0,0,0,0,0,0,0
10438_16,JV,2012,4,28,-34.58,25.99,2760,21.30,230,0,0,0,0,0,0,0
10438_17,JV,2012,4,29,-34.58,25.91,2760,21.20,230,0,0,0,0,0,0,0
10438_18,JV,2012,5,1,-34.54,25.88,2760,22.10,230,0,0,0,0,0,0,0
10438_19,JV,2012,5,2,-34.56,26.00,2880,22.00,240,0,0,0,0,0,0,0
10438_20,JV,2012,5,3,-34.56,25.86,2520,22.70,210,0,0,0,0,0,0,0
10438_21,JV,2012,5,5,-34.55,25.89,2880,21.80,240,0,0,0,0,0,0,0
10438_22,JV,2012,5,6,-34.56,25.82,2880,22.70,240,0,0,0,0,0,0,0
10438_23,JV,2012,5,7,-34.58,25.93,2880,20.40,240,0,0,0,0,0,0,0
10438_24,JV,2012,5,8,-34.57,25.94,2880,20.60,240,0,0,0,0,0,0,0
10438_25,JV,2012,5,9,-34.56,25.90,2880,20.20,240,0,0,0,0,0,0,0
10438_26,JV,2012,5,10,-34.53,25.80,2880,20.00,240,0,0,0,0,0,0,0
10438_27,JV,2012,5,11,-34.57,25.86,3000,18.20,250,0,0,0,0,0,0,0
10438_28,JV,2012,5,13,-37.03,21.05,2760,19.10,230,0,0,0,0,0,0,0
10438_29,JV,2012,5,14,-36.77,20.14,3000,19.90,250,0,0,0,0,0,0,0
10438_30,JV,2012,5,16,-35.80,19.21,3000,20.60,250,0,0,0,0,0,0,0
10438_31,JV,2012,5,16,-35.18,17.34,2880,19.10,240,0,0,0,0,0,0,0
10438_32,JV,2012,5,18,-30.75,14.53,3240,18.50,270,0,0,0,0,0,0,0
10438_33,JV,2012,5,19,-30.84,15.00,3240,18.70,270,0,0,0,0,0,0,0
10438_34,JV,2012,5,20,-31.46,15.40,3240,18.00,270,0,0,0,0,0,0,0
10438_35,JV,2012,5,23,-34.68,25.24,3000,22.60,250,0,0,0,0,0,0,0
10438_36,JV,2012,5,24,-34.63,25.33,3000,23.00,250,0,0,0,0,0,0,0
10438_37,JV,2012,5,25,-34.47,25.36,3000,22.90,250,0,0,0,0,0,0,0
10438_38,JV,2012,5,26,-34.63,25.38,3000,23.00,250,0,0,0,0,0,0,0
10438_39,JV,2012,5,27,-34.64,25.35,3000,22.70,250,0,0,0,0,0,0,0
10438_40,JV,2012,5,28,-34.62,25.37,3000,21.60,250,0,0,0,0,0,0,0
10438_41,JV,2012,5,30,-34.62,25.41,2640,23.20,220,0,0,0,0,0,0,0
10438_42,JV,2012,5,31,-34.64,25.40,2760,23.30,230,0,0,0,0,0,0,0
10438_43,JV,2012,6,1,-34.67,25.55,2760,22.10,230,0,0,0,0,0,0,0
10438_44,JV,2012,6,2,-34.65,25.47,2880,22.70,240,0,0,0,0,0,0,0
10438_45,JV,2012,6,3,-34.63,25.46,2880,22.70,240,0,0,0,0,0,0,0
10438_46,JV,2012,6,4,-34.63,25.52,3000,21.30,250,0,0,0,0,0,0,0
10438_47,JV,2012,6,5,-34.65,25.55,3000,22.80,250,0,0,0,0,0,0,0
10438_48,JV,2012,6,6,-34.62,25.51,2760,22.80,230,0,0,0,0,0,0,0
10438_49,JV,2012,6,11,-33.95,27.09,2760,23.40,230,0,0,0,0,0,0,0
10438_50,JV,2012,6,12,-33.96,27.10,2400,20.20,200,0,0,0,0,0,0,0
10438_51,JV,2012,6,12,-34.58,25.55,2760,21.50,230,0,0,0,0,0,0,0
10438_52,JV,2012,6,13,-34.63,25.23,2400,22.40,200,0,0,0,0,0,0,0
10438_53,JV,2012,6,14,-34.40,25.41,2760,21.70,230,0,0,0,0,0,0,0
10438_54,JV,2012,6,15,-34.56,25.60,2880,22.40,240,0,0,0,0,0,0,0
10438_55,JV,2012,6,16,-34.53,25.63,2880,21.90,240,0,0,0,0,0,0,0
10438_56,JV,2012,6,17,-34.59,25.69,2880,21.70,240,0,0,0,0,0,0,0
10438_57,JV,2012,6,18,-34.59,25.68,2880,21.90,240,0,0,0,0,0,0,0
10438_58,JV,2012,6,19,-34.60,25.69,2880,22.10,240,0,0,0,0,0,0,0
10438_59,JV,2012,6,20,-34.59,25.68,2880,21.80,240,0,0,0,0,0,0,0
10438_60,JV,2012,6,21,-34.60,25.66,2880,21.30,240,0,0,0,0,0,0,0
10438_61,JV,2012,6,22,-34.59,25.67,3000,21.50,50,0,0,0,0,0,0,0
10438_62,JV,2012,6,23,-34.58,25.65,3000,21.50,250,0,0,0,0,0,0,0
10438_63,JV,2012,6,24,-34.58,25.69,3000,21.70,250,0,0,0,0,0,0,0
10438_64,JV,2012,6,27,-30.09,31.65,3000,23.50,250,0,0,0,0,0,0,0
10438_65,JV,2012,6,28,-30.08,31.59,3120,23.30,260,0,0,0,0,0,0,0
10438_66,JV,2012,6,29,-30.05,31.57,3120,23.30,260,0,0,0,0,0,0,0
10438_67,JV,2012,6,30,-30.09,31.58,3240,23.40,270,0,0,0,0,0,0,0
10438_68,JV,2012,6,1,-30.04,31.76,3000,23.40,250,0,0,0,0,0,0,0
10438_69,JV,2012,7,2,-30.07,31.57,3240,23.30,270,0,0,0,0,0,0,0
10438_70,JV,2012,7,3,-30.18,31.58,3120,22.20,260,0,0,0,0,0,0,0
10438_71,JV,2012,7,4,-30.44,31.36,2880,23.30,240,0,0,0,0,0,0,0
10438_72,JV,2012,7,5,-30.66,31.17,3240,23.10,270,0,0,0,0,0,0,0
10438_73,JV,2012,7,6,-30.76,31.10,3240,22.90,270,0,0,0,0,0,0,0
10438_74,JV,2012,7,7,-30.72,31.14,2880,22.70,240,0,0,0,0,0,0,0
10438_75,JV,2012,7,8,-30.72,31.26,3240,22.80,270,0,0,0,0,0,0,0
10438_76,JV,2012,7,9,-30.77,31.25,3240,22.80,270,0,0,0,0,0,0,0
10438_77,JV,2012,7,10,-30.73,31.26,3240,23.00,270,0,0,0,0,0,0,0
10438_78,JV,2012,7,11,-30.63,31.38,3240,22.70,270,0,0,0,0,0,0,0
10438_79,JV,2012,7,12,-30.67,31.38,3240,22.40,270,0,0,0,0,0,0,0
10438_80,JV,2012,7,13,-30.63,31.39,3240,22.60,270,0,0,0,0,0,0,0
10438_81,JV,2012,7,14,-30.66,31.27,1560,23.10,130,0,0,0,0,0,0,0
