set_id,lat,lon,sst,month,no_catch,species
10470_79,-36.80,28.71,19.90,8,1,green
11044_39,-34.47,26.53,21.70,7,1,green
7306_7,-34.52,25.86,21.30,4,1,green
9531_5,-34.31,15.75,17.78,9,1,green
6996_18,-18.66,4.80,18.20,11,1,oliveridley
6996_26,-10.86,9.41,24.50,11,1,oliveridley
6996_28,-11.01,9.42,25.80,11,1,oliveridley
6996_31,-11.49,9.13,19.00,11,1,oliveridley
7306_70,-39.21,22.01,19.80,6,1,oliveridley
8604_8,-35.38,15.35,18.70,7,1,oliveridley
10514_12,-38.40,21.67,17.60,7,1,hawksbill
12562_3,-35.52,18.79,19.62,4,1,hawksbill
10463_8,-36.92,21.08,20.80,5,1,leatherback
11066_70,-34.81,26.29,20.70,10,1,leatherback
11335_31,-34.68,25.17,20.70,7,1,leatherback
11335_43,-34.72,25.45,20.50,7,1,leatherback
11469_13,-33.53,17.02,18.00,8,1,leatherback
11533_5,-28.95,34.73,27.50,1,1,leatherback
11538_5,-37.04,20.26,21.60,3,1,leatherback
11584_13,-34.48,25.99,19.90,5,1,leatherback
11700_3,-29.40,34.35,23.61,8,1,leatherback
11700_4,-29.27,34.10,23.67,8,1,leatherback
11701_7,-29.55,33.36,25.13,5,1,leatherback
11701_8,-29.65,33.34,24.92,6,1,leatherback
11706_4,-37.01,20.20,23.54,10,1,leatherback
11706_5,-37.02,20.57,21.66,10,1,leatherback
12562_3,-35.52,18.79,19.62,4,3,leatherback
12810_13,-32.07,14.54,16.80,7,1,leatherback
12810_14,-32.31,14.87,16.70,7,1,leatherback
12976_46,-34.50,25.87,22.20,10,1,leatherback
4534_3,-35.00,24.92,22.20,6,1,leatherback
4537_15,-37.43,20.34,17.70,7,1,leatherback
4537_17,-34.59,25.60,22.10,7,1,leatherback
4755_1,-34.98,24.93,21.00,8,1,leatherback
4793_18,-38.07,21.08,18.30,9,1,leatherback
4793_30,-37.12,20.80,18.40,9,1,leatherback
5114_12,-36.92,20.75,19.90,11,1,leatherback
5114_16,-36.93,20.75,19.20,11,1,leatherback
5386_4,-36.32,19.64,21.67,1,1,leatherback
6695_3,-36.89,21.63,23.90,2,1,leatherback
6695_11,-36.61,19.09,21.80,2,1,leatherback
6877_5,-34.43,26.10,22.80,6,1,leatherback
6877_25,-29.14,33.71,21.70,7,1,leatherback
6947_24,-34.72,25.68,19.60,9,1,leatherback
6985_51,-36.97,20.67,18.30,11,1,leatherback
6996_26,-10.86,9.41,24.50,11,1,leatherback
6996_33,-4.86,6.70,26.40,11,1,leatherback
6996_35,-4.82,6.39,26.30,11,1,leatherback
6996_40,-5.36,4.19,26.40,12,1,leatherback
6996_46,-5.94,0.50,25.20,12,1,leatherback
7005_25,-16.02,6.86,19.20,11,1,leatherback
7241_20,-34.50,25.77,22.30,4,1,leatherback
7283_6,-34.56,25.83,23.20,4,1,leatherback
7299_19,-36.98,21.38,22.20,4,1,leatherback
7306_11,-34.58,25.69,22.80,4,1,leatherback
7328_14,-34.30,26.47,23.70,4,1,leatherback
8542_22,-34.82,24.96,17.30,6,1,leatherback
9240_5,-30.37,12.87,18.63,5,1,leatherback
9240_6,-30.07,12.63,18.83,5,1,leatherback
9240_7,-30.02,12.57,18.68,5,1,leatherback
9339_1,-37.01,21.19,19.56,6,1,leatherback
9339_46,-34.62,25.33,20.17,8,1,leatherback
9366_13,-34.63,25.40,16.80,7,1,leatherback
10514_30,-29.65,32.02,21.70,8,1,loggerhead
11364_12,-34.58,25.67,19.50,8,1,loggerhead
11380_12,-34.71,25.04,21.30,8,1,loggerhead
11468_11,-35.53,18.68,19.90,10,1,loggerhead
11469_3,-36.57,19.98,19.50,7,1,loggerhead
11570_34,-34.63,25.55,23.20,5,1,loggerhead
11570_61,-36.82,21.20,19.90,6,1,loggerhead
11582_22,-34.12,26.92,24.50,5,1,loggerhead
11582_37,-30.21,31.58,24.30,6,1,loggerhead
11584_20,-36.82,20.98,20.20,6,1,loggerhead
11775_11,-35.78,22.12,21.40,1,1,loggerhead
11841_52,-34.85,25.17,23.30,6,1,loggerhead
12003_1,-35.87,18.83,19.16,11,1,loggerhead
12261_3,-36.60,20.13,19.50,10,2,loggerhead
12361_3,-35.81,19.32,21.40,12,1,loggerhead
12361_5,-35.41,18.51,19.30,12,1,loggerhead
12385_12,-35.93,21.99,21.00,11,1,loggerhead
12417_3,-36.13,19.98,22.20,1,1,loggerhead
12417_4,-36.50,20.52,22.20,1,1,loggerhead
12417_6,-36.35,20.35,22.20,1,1,loggerhead
12810_10,-32.04,14.16,16.90,7,1,loggerhead
13017_6,-29.75,34.79,23.10,9,2,loggerhead
13017_7,-29.48,32.27,24.20,9,1,loggerhead
13141_3,-36.30,19.79,19.90,11,2,loggerhead
4473_1,-34.75,15.32,18.00,6,1,loggerhead
4473_8,-34.36,16.14,19.50,6,1,loggerhead
4473_10,-33.81,15.72,19.50,6,1,loggerhead
4493_3,-29.92,34.75,23.90,6,1,loggerhead
4537_1,-37.07,20.92,22.00,6,1,loggerhead
5479_8,-34.30,25.85,25.10,2,1,loggerhead
6861_27,-32.54,29.58,21.80,6,1,loggerhead
6875_57,-36.83,21.33,19.70,8,1,loggerhead
6877_30,-29.70,32.29,23.20,7,1,loggerhead
6996_5,-35.62,33.92,18.50,10,1,loggerhead
6996_19,-10.39,9.11,24.00,11,1,loggerhead
6996_20,-10.21,9.22,24.00,11,1,loggerhead
6996_22,-11.02,9.44,24.20,11,1,loggerhead
6996_23,-10.97,9.51,24.70,11,1,loggerhead
6996_25,-10.86,9.20,24.10,11,1,loggerhead
7078_41,-29.52,33.07,26.20,2,1,loggerhead
7283_45,-29.21,33.00,23.50,5,1,loggerhead
7309_1,-27.57,34.43,25.60,4,1,loggerhead
7775_13,-34.77,26.12,19.50,8,1,loggerhead
8324_61,-34.83,25.02,21.20,6,1,loggerhead
8604_11,-35.52,15.72,18.90,7,1,loggerhead
8721_2,-33.77,16.02,17.56,8,1,loggerhead
9157_88,-36.88,21.10,17.50,7,1,loggerhead
9214_54,-36.80,21.11,18.70,6,1,loggerhead
9387_13,-36.96,21.17,19.00,8,1,loggerhead
11035_63,-36.77,21.31,20.50,8,1,"turtle unid"
11055_42,-36.92,21.65,19.20,8,1,"turtle unid"
11071_25,-34.66,25.40,18.20,8,1,"turtle unid"
11553_12,-36.93,21.45,20.90,4,1,"turtle unid"
11554_36,-34.52,25.66,22.60,5,1,"turtle unid"
11706_2,-37.15,20.67,22.63,10,1,"turtle unid"
11706_3,-37.13,20.40,23.10,10,1,"turtle unid"
11904_21,-34.70,25.65,20.40,7,1,"turtle unid"
11904_22,-34.54,25.88,19.90,7,1,"turtle unid"
4365_3,-33.38,15.87,19.38,5,1,"turtle unid"
4508_1,-36.49,22.30,21.70,6,1,"turtle unid"
4508_23,-37.08,20.88,17.60,7,1,"turtle unid"
6885_8,-34.32,27.87,22.00,6,1,"turtle unid"
6885_12,-34.68,26.62,18.60,7,1,"turtle unid"
6885_14,-34.80,26.34,19.40,7,1,"turtle unid"
6885_22,-37.12,21.30,17.30,7,1,"turtle unid"
6885_25,-37.14,21.09,18.00,7,1,"turtle unid"
6885_38,-35.10,24.09,22.10,8,1,"turtle unid"
6917_31,-36.94,20.51,16.80,8,1,"turtle unid"
7241_20,-34.50,25.77,22.30,4,1,"turtle unid"
7244_58,-34.74,21.55,21.40,5,1,"turtle unid"
8608_4,-34.13,17.22,19.90,7,1,"turtle unid"
8608_10,-32.99,15.18,17.70,7,1,"turtle unid"
8627_5,-34.90,24.48,19.00,7,1,"turtle unid"
8708_13,-34.70,25.19,18.60,8,1,"turtle unid"
8708_17,-34.13,26.83,22.20,9,1,"turtle unid"
9113_10,-36.95,21.04,23.74,3,1,"turtle unid"
9221_18,-31.83,30.20,22.30,5,1,"turtle unid"
9229_5,-34.78,26.00,18.80,5,1,"turtle unid"
9436_29,-37.02,20.58,19.10,9,1,"turtle unid"
9484_20,-36.90,20.67,19.10,9,1,"turtle unid"
9531_7,-34.59,15.99,17.78,9,1,"turtle unid"
