month,no_catch,species
8,1,green
7,1,green
4,1,green
9,1,green
11,1,oliveridley
11,1,oliveridley
11,1,oliveridley
11,1,oliveridley
6,1,oliveridley
7,1,oliveridley
7,1,hawksbill
4,1,hawksbill
5,1,leatherback
10,1,leatherback
7,1,leatherback
7,1,leatherback
8,1,leatherback
1,1,leatherback
3,1,leatherback
5,1,leatherback
8,1,leatherback
8,1,leatherback
5,1,leatherback
6,1,leatherback
10,1,leatherback
10,1,leatherback
4,3,leatherback
7,1,leatherback
7,1,leatherback
10,1,leatherback
6,1,leatherback
7,1,leatherback
7,1,leatherback
8,1,leatherback
9,1,leatherback
9,1,leatherback
11,1,leatherback
11,1,leatherback
1,1,leatherback
2,1,leatherback
2,1,leatherback
6,1,leatherback
7,1,leatherback
9,1,leatherback
11,1,leatherback
11,1,leatherback
11,1,leatherback
11,1,leatherback
12,1,leatherback
12,1,leatherback
11,1,leatherback
4,1,leatherback
4,1,leatherback
4,1,leatherback
4,1,leatherback
4,1,leatherback
6,1,leatherback
5,1,leatherback
5,1,leatherback
5,1,leatherback
6,1,leatherback
8,1,leatherback
7,1,leatherback
8,1,loggerhead
8,1,loggerhead
8,1,loggerhead
10,1,loggerhead
7,1,loggerhead
5,1,loggerhead
6,1,loggerhead
5,1,loggerhead
6,1,loggerhead
6,1,loggerhead
1,1,loggerhead
6,1,loggerhead
11,1,loggerhead
10,2,loggerhead
12,1,loggerhead
12,1,loggerhead
11,1,loggerhead
1,1,loggerhead
1,1,loggerhead
1,1,loggerhead
7,1,loggerhead
9,2,loggerhead
9,1,loggerhead
11,2,loggerhead
6,1,loggerhead
6,1,loggerhead
6,1,loggerhead
6,1,loggerhead
6,1,loggerhead
2,1,loggerhead
6,1,loggerhead
8,1,loggerhead
7,1,loggerhead
10,1,loggerhead
11,1,loggerhead
11,1,loggerhead
11,1,loggerhead
11,1,loggerhead
11,1,loggerhead
2,1,loggerhead
5,1,loggerhead
4,1,loggerhead
8,1,loggerhead
6,1,loggerhead
7,1,loggerhead
8,1,loggerhead
7,1,loggerhead
6,1,loggerhead
8,1,loggerhead
8,1,"turtle unid"
8,1,"turtle unid"
8,1,"turtle unid"
4,1,"turtle unid"
5,1,"turtle unid"
10,1,"turtle unid"
10,1,"turtle unid"
7,1,"turtle unid"
7,1,"turtle unid"
5,1,"turtle unid"
6,1,"turtle unid"
7,1,"turtle unid"
6,1,"turtle unid"
7,1,"turtle unid"
7,1,"turtle unid"
7,1,"turtle unid"
7,1,"turtle unid"
8,1,"turtle unid"
8,1,"turtle unid"
4,1,"turtle unid"
5,1,"turtle unid"
7,1,"turtle unid"
7,1,"turtle unid"
7,1,"turtle unid"
8,1,"turtle unid"
9,1,"turtle unid"
3,1,"turtle unid"
5,1,"turtle unid"
5,1,"turtle unid"
9,1,"turtle unid"
9,1,"turtle unid"
9,1,"turtle unid"
