set_id,fleet,year,month,day,lat,lon,hooks,sst,buoys,green,hawksbill,oliveridley,leatherback,loggerhead,turtle,total,turtle_CPUE,turtle_YN,fleetnr,sstcat,hookscat,buoyscat,cluster_label
10438_1,JV,2012,4,10,-34.75,26.23,2640,21.6,220,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_2,JV,2012,4,11,-34.52,26.47,2880,20.1,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_3,JV,2012,4,12,-34.55,26.28,2640,20.4,220,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_4,JV,2012,4,13,-35.26,24.75,2640,21.5,220,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_5,JV,2012,4,16,-34.64,26.25,2880,21.7,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_6,JV,2012,4,17,-34.41,26.54,2880,22.9,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_7,JV,2012,4,18,-34.63,26.26,2640,22.5,220,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_8,JV,2012,4,19,-34.59,26.15,2760,22.0,230,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_9,JV,2012,4,20,-34.6,26.02,2520,22.7,210,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_10,JV,2012,4,22,-34.35,26.4,1920,23.7,160,0,0,0,0,0,0,0,0.0,0,1,4,3,1,1
10438_11,JV,2012,4,23,-34.6,26.17,2640,23.3,220,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_12,JV,2012,4,24,-34.75,25.93,2760,21.2,230,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_13,JV,2012,4,25,-34.63,26.08,2760,20.2,230,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_14,JV,2012,4,26,-34.61,26.07,2400,22.1,200,0,0,0,0,0,0,0,0.0,0,1,4,4,2,1
10438_15,JV,2012,4,27,-34.59,25.99,2520,21.0,210,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_16,JV,2012,4,28,-34.58,25.99,2760,21.3,230,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_17,JV,2012,4,29,-34.58,25.91,2760,21.2,230,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_18,JV,2012,5,1,-34.54,25.88,2760,22.1,230,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_19,JV,2012,5,2,-34.56,26.0,2880,22.0,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_20,JV,2012,5,3,-34.56,25.86,2520,22.7,210,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_21,JV,2012,5,5,-34.55,25.89,2880,21.8,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_22,JV,2012,5,6,-34.56,25.82,2880,22.7,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_23,JV,2012,5,7,-34.58,25.93,2880,20.4,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_24,JV,2012,5,8,-34.57,25.94,2880,20.6,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_25,JV,2012,5,9,-34.56,25.9,2880,20.2,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_26,JV,2012,5,10,-34.53,25.8,2880,20.0,240,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_27,JV,2012,5,11,-34.57,25.86,3000,18.2,250,0,0,0,0,0,0,0,0.0,0,1,3,6,3,1
10438_28,JV,2012,5,13,-37.03,21.05,2760,19.1,230,0,0,0,0,0,0,0,0.0,0,1,3,5,2,1
10438_29,JV,2012,5,14,-36.77,20.14,3000,19.9,250,0,0,0,0,0,0,0,0.0,0,1,3,6,3,1
10438_30,JV,2012,5,16,-35.8,19.21,3000,20.6,250,0,0,0,0,0,0,0,0.0,0,1,4,6,3,1
10438_31,JV,2012,5,16,-35.18,17.34,2880,19.1,240,0,0,0,0,0,0,0,0.0,0,1,3,5,2,1
10438_32,JV,2012,5,18,-30.75,14.53,3240,18.5,270,0,0,0,0,0,0,0,0.0,0,1,3,6,3,0
10438_33,JV,2012,5,19,-30.84,15.0,3240,18.7,270,0,0,0,0,0,0,0,0.0,0,1,3,6,3,0
10438_34,JV,2012,5,20,-31.46,15.4,3240,18.0,270,0,0,0,0,0,0,0,0.0,0,1,3,6,3,0
10438_35,JV,2012,5,23,-34.68,25.24,3000,22.6,250,0,0,0,0,0,0,0,0.0,0,1,4,6,3,1
10438_36,JV,2012,5,24,-34.63,25.33,3000,23.0,250,0,0,0,0,0,0,0,0.0,0,1,4,6,3,1
10438_37,JV,2012,5,25,-34.47,25.36,3000,22.9,250,0,0,0,0,0,0,0,0.0,0,1,4,6,3,1
10438_38,JV,2012,5,26,-34.63,25.38,3000,23.0,250,0,0,0,0,0,0,0,0.0,0,1,4,6,3,1
10438_39,JV,2012,5,27,-34.64,25.35,3000,22.7,250,0,0,0,0,0,0,0,0.0,0,1,4,6,3,1
10438_40,JV,2012,5,28,-34.62,25.37,3000,21.6,250,0,0,0,0,0,0,0,0.0,0,1,4,6,3,1
10438_41,JV,2012,5,30,-34.62,25.41,2640,23.2,220,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
10438_42,JV,2012,5,31,-34.64,25.4,2760,23.3,230,0,0,0,0,0,0,0,0.0,0,1,4,5,2,1
